id,audienceScore,tomatoMeter,runtimeMinutes,genre,kmeans_cluster
10008820-visitor,84.0,90.0,103.0,Drama,0
10008830-bill,44.0,20.0,92.0,"Comedy, Drama",2
10008849-married_life,36.0,54.0,90.0,"Crime, Drama, Romance",2
10008856-badland,54.0,16.0,165.0,Drama,1
10008864-shake_hands_with_the_devil,88.0,55.0,112.0,Drama,1
10008924-oxford_murders,33.0,17.0,110.0,"Mystery & thriller, Crime, Drama",2
10008934-legacy,53.0,56.0,78.0,"Drama, Mystery & thriller",2
10008938-turnabout,25.0,20.0,83.0,Comedy,2
10008954-untraceable,52.0,16.0,101.0,"Mystery & thriller, Crime, Drama",2
10008991-informers,18.0,12.0,98.0,"Crime, Drama, Mystery & thriller",2
10008992-meeting_resistance,47.0,82.0,84.0,Documentary,0
10009001-the_freshman,61.0,94.0,102.0,Comedy,0
10009002-actresses,44.0,50.0,107.0,"Comedy, Drama",2
10009005-a_bloody_aria,40.0,42.0,115.0,"Drama, Horror, Mystery & thriller",2
10009049-noodle,91.0,100.0,90.0,Drama,0
10009055-rocker,46.0,41.0,102.0,Comedy,2
10009063-perfect_holiday,52.0,19.0,96.0,"Kids & family, Holiday, Romance",2
10009066-la_graine_et_le_mulet,76.0,93.0,151.0,Drama,1
10009083-land_of_the_lost,32.0,26.0,102.0,"Comedy, Adventure",2
10009132-rec,82.0,90.0,78.0,"Horror, Mystery & thriller",0
10009138-look,56.0,60.0,98.0,Drama,2
1000915-and_god_created_woman,32.0,38.0,98.0,Drama,2
10009151-box,24.0,43.0,113.0,"Horror, Sci-fi, Mystery & thriller",2
10009169-man_in_the_chair,68.0,50.0,109.0,"Comedy, Drama",0
10009172-undoing,25.0,31.0,90.0,Drama,2
10009176-black_water,40.0,80.0,90.0,Mystery & thriller,0
10009186-skippy,59.0,86.0,85.0,"Comedy, Drama",0
10009192-21,66.0,36.0,122.0,Drama,1
10009210-duchess_of_langeais,52.0,70.0,137.0,"History, Drama, Romance",1
10009212-ben_x,80.0,69.0,93.0,Drama,0
10009225-body_of_lies,62.0,55.0,128.0,"Drama, Mystery & thriller, Action",1
10009239-passengers,35.0,19.0,92.0,"Mystery & thriller, Drama, Romance",2
10009244-the_grand,43.0,40.0,104.0,Comedy,2
10009253-the_hammer,90.0,80.0,93.0,"Comedy, Romance",0
10009254-shutter,33.0,11.0,85.0,"Horror, Mystery & thriller",2
10009274-priest,46.0,15.0,87.0,"Fantasy, Horror, Action",2
10009318-the_aerial,85.0,60.0,90.0,Drama,0
10009323-broken,25.0,51.0,88.0,"Horror, Mystery & thriller",2
10009334-the_escapist,63.0,65.0,103.0,Drama,0
10009355-sugar,79.0,92.0,118.0,Drama,1
1000940-android,38.0,86.0,80.0,Sci-fi,0
10009419-mommas_man,50.0,91.0,99.0,Drama,0
10009420-quid_pro_quo,54.0,60.0,81.0,"Comedy, Drama",2
10009421-red,68.0,70.0,95.0,Drama,0
10009426-guitar,55.0,33.0,95.0,"Drama, Romance",2
10009430-pilgrimage,50.0,83.0,96.0,Drama,0
10009445-my_brothers_wedding,60.0,89.0,116.0,Drama,1
10009462-g_force,39.0,22.0,88.0,"Kids & family, Action, Adventure, Comedy",2
10009469-the_other_man,18.0,15.0,90.0,"Drama, Mystery & thriller",2
10009493-duchess,67.0,62.0,109.0,"History, Drama",0
10009516-women,37.0,14.0,114.0,"Comedy, Drama",2
10009523-normal,44.0,0.0,100.0,Drama,2
10009526-public_enemies,59.0,68.0,140.0,"Crime, Drama, Action, Mystery & thriller",1
10009552-julia,67.0,73.0,144.0,"Drama, Mystery & thriller",1
1000957-angel_and_the_badman,68.0,71.0,100.0,Western,0
10009583-fade_to_black,33.0,29.0,105.0,Mystery & thriller,2
1000959-angel_heart,81.0,82.0,113.0,"Mystery & thriller, Horror",1
10009596-old_dogs,44.0,5.0,88.0,"Kids & family, Comedy",2
10009598-surrogates,38.0,37.0,88.0,"Sci-fi, Mystery & thriller, Action",2
10009623-hats_off,67.0,43.0,84.0,Documentary,2
10009624-promotion,28.0,54.0,86.0,Comedy,2
10009632-notorious,65.0,52.0,122.0,"Biography, Drama",1
10009634-book_of_blood,30.0,80.0,100.0,"Horror, Drama, Fantasy, Mystery & thriller",2
10009635-soul_men,58.0,45.0,100.0,Comedy,2
10009636-igor,38.0,39.0,86.0,"Kids & family, Comedy, Animation",2
10009640-nights_and_weekends,50.0,85.0,80.0,Drama,0
10009680-matador,65.0,73.0,75.0,Documentary,0
10009702-in_a_dream,80.0,79.0,90.0,Drama,0
