id,audienceScore,tomatoMeter,runtimeMinutes,genre,kmeans_cluster
10007886-the_tigers_tail,31.0,14.0,106.0,Drama,2.0
10007893-its_a_boy_girl_thing,61.0,67.0,95.0,"Romance, Comedy",0.0
10007897-phantom_love,32.0,,,,
10007898-slipstream,29.0,27.0,97.0,"Comedy, Drama, Fantasy, Sci-fi",2.0
10007902-delirious,57.0,83.0,107.0,"Comedy, Drama",0.0
10007916_interview,55.0,58.0,84.0,Drama,2.0
1000792-american_anthem,65.0,0.0,102.0,Drama,2.0
10007947-ten,40.0,35.0,99.0,Comedy,2.0
10007985-happening,24.0,18.0,89.0,"Sci-fi, Mystery & thriller",2.0
10008005-moliere,79.0,69.0,120.0,"Comedy, Drama, History",1.0
10008007-last_man,50.0,,,,
10008035-conflict,,,60.0,Drama,
10008038-waterloo_bridge,74.0,,72.0,Drama,
10008041-accused,64.0,100.0,101.0,"Crime, Drama",0.0
10008043-gamerz,52.0,100.0,,,
10008046-flock_of_dodos,77.0,,,,
10008062-independent_america,,,81.0,Documentary,
10008065-the_stranger,69.0,46.0,105.0,Drama,2.0
10008080-popcorn,35.0,,90.0,"Romance, Comedy",
10008097-lady_chatterley,59.0,77.0,220.0,"Romance, Drama",1.0
10008098-jacquou_le_croquant,61.0,,155.0,"Adventure, Drama",
10008119-hat_trick,20.0,,110.0,"Comedy, Drama",
10008124-a_parting_shot,75.0,,84.0,Drama,
10008126-straightheads,32.0,43.0,88.0,"Drama, Mystery & thriller",2.0
10008129-orphans,,,80.0,Drama,
10008140-borderland,43.0,100.0,104.0,"Mystery & thriller, Horror, Crime, Drama",0.0
10008142-fall_from_grace,72.0,,71.0,Documentary,
10008157-interlude,80.0,,90.0,Romance,
10008177-hand_in_hand,,,77.0,Drama,
10008200-spiral,59.0,50.0,90.0,"Drama, Mystery & thriller",2.0
10008234-alexandra,69.0,88.0,95.0,Drama,0.0
10008259-festival,70.0,100.0,80.0,Documentary,0.0
10008290-salon,66.0,12.0,99.0,"Comedy, Drama",2.0
10008324-garage,73.0,,85.0,Drama,
10008335-live,,,,,
10008343-miriam,,14.0,122.0,Drama,
10008354-orange_winter,67.0,50.0,72.0,Documentary,0.0
10008390_blood_and_tears,33.0,50.0,73.0,Documentary,2.0
10008411-black_moon,53.0,50.0,100.0,Fantasy,2.0
10008423-cool_school,63.0,92.0,86.0,Documentary,0.0
10008424-love_story,,,,,
10008436-the_end_of_summer,86.0,100.0,103.0,"Drama, Romance",0.0
10008458-prisoner,,,105.0,Drama,
10008466-deep_end,74.0,90.0,90.0,Drama,0.0
10008468-west,50.0,,90.0,"Drama, Romance",
10008469-stray_dogs,81.0,,93.0,Drama,
10008470-assassination,87.0,,105.0,Drama,
10008476-city_of_fear,39.0,,81.0,Mystery & thriller,
1000849-american_nightmare,19.0,,89.0,Horror,
10008496-pathology,39.0,48.0,93.0,Mystery & thriller,2.0
10008502-christmas_carol,58.0,53.0,95.0,"Kids & family, Holiday, Fantasy, Drama, Animation",2.0
10008507-deep_water,87.0,96.0,93.0,Documentary,0.0
10008508-unearthed,9.0,,93.0,Horror,
10008562-road_to_victory,80.0,78.0,99.0,Drama,0.0
10008564-10008564-sasquatch_mountain,17.0,,100.0,Mystery & thriller,
10008578-top_gun,69.0,,73.0,Western,
10008587-beverly_hills_chihuahua,51.0,40.0,91.0,"Kids & family, Comedy, Adventure",2.0
10008597-catacombs,22.0,,100.0,"Horror, Mystery & thriller",
10008601-fireflies_in_the_garden,45.0,23.0,98.0,Drama,2.0
10008603-blonde_and_blonder,16.0,,95.0,Comedy,
10008606-eye,43.0,22.0,97.0,"Horror, Mystery & thriller",2.0
10008607-day_of_the_dead,22.0,13.0,87.0,"Horror, Mystery & thriller",2.0
10008611-my_best_friends_girl,46.0,14.0,103.0,"Romance, Comedy",2.0
10008613-burrowers,34.0,73.0,96.0,"Horror, Mystery & thriller, Western",2.0
10008617-midnight_meat_train,50.0,73.0,100.0,"Horror, Mystery & thriller",0.0
10008618-return,54.0,37.0,115.0,Drama,2.0
10008619-partner,67.0,,155.0,"Romance, Comedy",
10008621-run_fat_boy_run,64.0,46.0,100.0,"Romance, Comedy",2.0
10008633-if_i_didnt_care,0.0,37.0,80.0,Mystery & thriller,2.0
